placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
zzz-222@5sb-876-nbk,sg:4a957eaa43f24f519c637d21317b6b8e,,,Hull Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.825686,-88.086872,1400 Hull Drive,Wheaton,IL,60189,US,NA,,,,NA,,2019-07
zzz-222@5pw-3b6-3qz,sg:80d2a8dd7f934b20b3c56b8ae1102513,,,Northfield Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.177067,-87.845009,1624 E 4000n Rd,Bradley,IL,60915,US,NA,,,,NA,,2019-07
zzz-222@5sb-8gf-swk,sg:d8ee94af8dda4ad88a035171a85d8db1,,,We Go Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.063205,-87.951845,Unknown,Mount Prospect,IL,60056,US,NA,,,,NA,,2019-07
zzz-222@5pw-6dz-yvz,sg:f8b9b433d172451e910f465c010f5f58,,,Sullivan,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.743523,-87.542195,Sullivan,Chicago,IL,60610,US,NA,,,,NA,,2019-07
zzz-222@5pw-28r-qj9,sg:08310376728e4b3883a6b57a394775e5,,,Wulf Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.550798,-87.725471,Unknown,Country Club Hills,IL,60478,US,NA,,,,NA,,2019-07
zzz-222@5sb-cwv-dn5,sg:0de9a2701e7741afa7bd659703d3425c,,,Clearbrook Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.249512,-87.991316,Clearbrook Park,Mundelein,IL,60060,US,NA,,,,NA,,2019-07
zzz-222@5sb-d3d-gff,sg:2e2684a13cde48528acf1119b549fce7,,,Cherbourg Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.167794,-87.959397,815 Marseilles Cir,Buffalo Grove,IL,60089,US,NA,,,,NA,,2019-07
zzz-222@5pw-q65-2rk,sg:2e904e83a84d46ccbeb1ec0594ca6c0e,,,Lower Rock Run Preserve,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.480133,-88.171212,Lower Rock Run Preserve,Joliet,IL,60410,US,NA,,,,NA,,2019-07
zzz-222@5pv-3br-3kf,sg:61a47af4a28247a2b30914013cdc4f45,,,Blatt Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.140023,-87.881015,1250 Blatt Boulevard,Bradley,IL,60915,US,NA,,,,NA,,2019-07
zzw-222@5sb-96r-f9f,sg:82a8f7bd8cce406ab7246432520b3cf8,,,Harkless Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.24309,-88.859853,918 W 9th St,Belvidere,IL,61008,US,NA,,,,NA,,2019-07
